Columns,Group,Units,Availability,Timing,Note
"ParkinsonVar,GarmanKlassVar,RangePct",range,daily variance / %,always,known at close t,"range estimators from the exchange daily bar. AVAILABLE ON EVERY DAY, including intraday-defect days - the natural fallback predictor"
Overnight_LogRet,return,log return,RV_Valid only,known at OPEN of t,close(t-1) -> open(t). NOT a day-t close variable; the only column that is not close-dated
CFD_SessionReturn,diagnostic,log return,RV_Valid only,known at close t,close-to-close return of the CFD used to build RV; for reconciliation against Return
"US10Y_pct,US13W_pct,TermSpread_pct",05_RAW_MACRO,percent,always,known at close t,LEVELS ARE NON-STATIONARY (ADF p=0.87/0.33). Do not use as QR regressors - use the _diff forms
"US10Y_diff,TermSpread_diff",05_RAW_MACRO,percentage points,always,known at close t,first differences; stationary at p<0.001. USE THESE in the quantile regression
"DXY,WTI_usd,GOLD_usd,HYG_px,IEF_px",05_RAW_MACRO,level,always,known at close t,"levels, forward-filled up to 5 business days; use the _ret forms as regressors"
"DXY_ret,WTI_ret,GOLD_ret,HYG_ret,IEF_ret",05_RAW_MACRO,log return,always,known at close t,log differences of the above
CreditStress,05_RAW_MACRO,log return,always,known at close t,"-(HYG_ret - IEF_ret); rises with credit stress, same sign as a widening high-yield spread"
MacroFilled_t,quality,boolean,always,-,TRUE where at least one macro level was forward-filled on this row
SessionClass,quality,FULL/HALFDAY/DEFECT/MISSING,always,-,intraday session classification driving RV_Valid
"RV_Coverage,HasOpen,MaxInteriorGap_blocks",quality,ratio / bool / blocks,where intraday exists,-,"inputs to the classification, kept for auditability"
RV_Valid,quality,boolean,always,-,THE GATE for every realized measure. TRUE only for FULL sessions with RV>0
"IsHalfDay,IsDefect",quality,boolean,always,-,half-days are real short sessions; defects are feed failures
"InSample_A,InSample_B,InSample_C",sample,boolean,always,-,"sample windows; B is PRIMARY (all six indices, 2013-09-30 onward)"
CommonDate_B,sample,boolean,always,-,"date present for all six indices in sample B, ignoring RV validity"
"CrisisLabel,IsCrisis",regime,label / boolean,always,known at close t,"10 named crisis windows with fixed calendar dates, identical across all six indices so cross-index comparison is meaningful. See CRISIS_PERIODS.csv for the dates and the basis for each. Sample B contains 6 of the 10; it MISSES the GFC, dot-com, Asian crisis and Euro sovereign crisis"
TrailVol63_Ann,regime,annualised %,always,known at close t,"trailing 63-day return volatility, annualised. Defined on every day including intraday-defect days, because it uses returns rather than RV"
VolRegime,regime,Calm/Normal/Stressed/Crisis,always,EX-POST,"quartiles of TrailVol63_Ann using FULL-SAMPLE cut-points. In-sample information: correct for ex-post subsample REPORTING, NEVER as a predictor"
VolRegime_ExAnte,regime,Calm/Normal/Stressed/Crisis,from ~750 obs,known at close t,same quartiles from EXPANDING-WINDOW quantiles using only data strictly before each date. No look-ahead - safe as a regressor or conditioning variable
BalancedRV_B,sample,boolean,always,-,date where ALL SIX indices have a VALID realized measure. Use for POOLED cross-index statistics only; per-index work should use RV_Valid and keep its own days
